KR,KRR,DR,DRR,AR,ARR,Q_sigma,P_sigma,Pv_sigma
0.159022792930064,5.45301148682665E-05,0.102703396256203,4.81859473206368E-05,0.104152106217587,1.85905875951299E-05,1.00E-07,1.00E+04,1.00E-01
0.159064563812033,5.45384655812686E-05,0.102693055220141,4.81711718144239E-05,0.104182964374877,1.85962597290876E-05,1.00E-07,1.00E+07,1.00E-01
0.159090360700379,5.45481314616914E-05,0.102710616685461,4.81693732856663E-05,0.104029393945516,1.85842722044982E-05,1.00E-07,1.00E+06,1.00E-01
0.159092300704855,5.45479522079615E-05,0.102710088153645,4.81696476967856E-05,0.104035729723108,1.85841249389275E-05,1.00E-07,1.00E+05,1.00E-01
0.161713114525156,0.0002541230667043,0.12424867049292,0.000158531908255912,0.10741425908049,2.03895569073323E-05,1.00E-09,1.00E+04,1.00E-01
0.161754859147411,0.000254174104620136,0.124247287703225,0.000158528967510529,0.107271721783296,2.03812417798662E-05,1.00E-09,1.00E+06,1.00E-01
0.161760756698215,0.000254154596512159,0.124247878266163,0.000158643953566685,0.107449607825971,2.03979447376587E-05,1.00E-09,1.00E+07,1.00E-01
0.161762857696907,0.000254172520150539,0.12424127024471,0.000158511841071032,0.107295710986288,2.03797262678128E-05,1.00E-09,1.00E+05,1.00E-01
0.16229621802768,0.000259241211661067,0.124260318303036,0.000158923984450056,0.107414626416183,2.03898078631193E-05,1.00E-10,1.00E+04,1.00E-01
0.16230222321728,0.000259294949582741,0.12426043481351,0.000158927918963293,0.107414630050299,2.03898103838474E-05,1.00E-11,1.00E+04,1.00E-01
0.162302284767531,0.000259295491238871,0.124260437233131,0.000158927960656298,0.107414630112985,2.03898104135273E-05,1.00E-12,1.00E+04,1.00E-01
0.162302286350982,0.000259295499298531,0.124260438047383,0.000158927962644095,0.107414630088499,2.0389810403622E-05,1.00E-13,1.00E+04,1.00E-01
0.162302286388261,0.000259295499438415,0.124260438072961,0.000158927962699185,0.107414630088499,2.0389810403622E-05,1.00E-14,1.00E+04,1.00E-01
0.162337967907372,0.000259293175965193,0.124258932059732,0.000158921112952228,0.107272089247808,2.03814923051849E-05,1.00E-10,1.00E+06,1.00E-01
0.162343974502009,0.000259346926808886,0.124259049582869,0.000158925050270222,0.107272092915022,2.03814948195966E-05,1.00E-11,1.00E+06,1.00E-01
0.162344033444185,0.000259347461453762,0.124259049811139,0.000158925087860738,0.107272092998131,2.03814948613154E-05,1.00E-12,1.00E+06,1.00E-01
0.162344034035732,0.00025934746678861,0.124259049792973,0.000158925088194214,0.107272093004526,2.03814948629033E-05,1.00E-13,1.00E+06,1.00E-01
0.162344035688603,0.000259347471355069,0.124259051206962,0.000158925090932371,0.107272093004093,2.03814948632394E-05,1.00E-14,1.00E+06,1.00E-01
0.162344428549734,0.000259276236749485,0.124259544509314,0.000159036833526163,0.107449975929429,2.03981960502339E-05,1.00E-10,1.00E+07,1.00E-01
0.162345845341627,0.000259291233090343,0.124252907655418,0.000158903881984606,0.107296078461577,2.0379976741465E-05,1.00E-10,1.00E+05,1.00E-01
0.162350440016728,0.000259330012884769,0.12425966141299,0.000159040776423066,0.107449979583649,2.03981985580556E-05,1.00E-11,1.00E+07,1.00E-01
0.162350500616832,0.000259330552330536,0.124259662985818,0.000159040816664397,0.107449979660309,2.03981985948732E-05,1.00E-12,1.00E+07,1.00E-01
0.162350500758653,0.000259330556529259,0.124259662614547,0.000159040816296632,0.107449979676259,2.03981986019826E-05,1.00E-14,1.00E+07,1.00E-01
0.162350501298819,0.000259330557955481,0.12425966306906,0.000159040817175529,0.107449979676334,2.0398198602048E-05,1.00E-13,1.00E+07,1.00E-01
0.162351850324297,0.000259344979142491,0.124253024728733,0.000158907817344188,0.107296082159675,2.03799792298616E-05,1.00E-11,1.00E+05,1.00E-01
0.162351909967709,0.000259345515609932,0.124253025531747,0.000158907855911802,0.107296082211082,2.037997925467E-05,1.00E-12,1.00E+05,1.00E-01
0.162351910556588,0.000259345521063767,0.124253025522173,0.000158907856367827,0.107296082203874,2.03799792597299E-05,1.00E-14,1.00E+05,1.00E-01
0.162351910676372,0.000259345521336738,0.124253025612709,0.000158907856539823,0.107296082203365,2.03799792598264E-05,1.00E-13,1.00E+05,1.00E-01
